SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr5_17163536	5	17163536	1.246671e-03	109334382	AT5G42797	NA	low-molecular-weight cysteine-rich 28 (EC low-molecular-weight cysteine-rich 28)
Chr1_11824698	1	11824698	7.846356e-05	11824698	NA	NA	NA
Chr3_18637489	3	18637489	5.196007e-04	68763449	AT3G50270	NA	HXXXD-type acyl-transferase family protein (EC HXXXD-type acyl-transferase family protein)
Chr1_13447207	1	13447207	1.584557e-04	13447207	NA	NA	NA
Chr4_10452467	4	10452467	1.497210e-04	84038257	AT4G19090	NA	Protein of unknown function (DUF594) (EC Protein of unknown function (DUF594))
Chr5_8784012	5	8784012	7.822844e-05	100954858	AT5G25300	NA	NA
Chr5_3221264	5	3221264	4.070720e-04	95392110	AT5G10250	NA	Phototropic-responsive NPH3 family protein (EC Phototropic-responsive NPH3 family protein)
Chr2_4343176	2	4343176	1.629770e-04	34770847	NA	NA	NA
Chr1_7448458	1	7448458	3.070734e-04	7448458	AT1G21270	NA	wall-associated kinase 2 (EC wall-associated kinase 2)
Chr3_14315530	3	14315530	1.660215e-04	64441490	AT3G42160	NA	Pectin lyase-like superfamily protein (EC Pectin lyase-like superfamily protein)
Chr5_17149718	5	17149718	5.911181e-04	109320564	AT5G42760	NA	Leucine carboxyl methyltransferase (EC Leucine carboxyl methyltransferase)
Chr1_13121567	1	13121567	1.164295e-04	13121567	NA	NA	NA
Chr4_10074923	4	10074923	1.979306e-04	83660713	AT4G18205	NA	Nucleotide-sugar transporter family protein (EC Nucleotide-sugar transporter family protein)
Chr1_27321563	1	27321563	4.331302e-04	27321563	NA	NA	NA
Chr3_12676361	3	12676361	1.773915e-04	62802321	NA	NA	NA
Chr1_25369623	1	25369623	5.531038e-04	25369623	AT1G67680	NA	SRP72 RNA-binding domain (EC SRP72 RNA-binding domain)
Chr1_25377279	1	25377279	5.531038e-04	25377279	NA	NA	NA
Chr1_25377332	1	25377332	5.531038e-04	25377332	NA	NA	NA
Chr1_12443993	1	12443993	5.720761e-04	12443993	AT1G34160	NA	Tetratricopeptide repeat (TPR)-like superfamily protein (EC Tetratricopeptide repeat (TPR)-like superfamily protein)
Chr2_3043220	2	3043220	1.858861e-04	33470891	NA	NA	NA
Chr5_18101635	5	18101635	2.877235e-04	110272481	AT5G44800	NA	chromatin remodeling 4 (EC chromatin remodeling 4)
Chr1_9768458	1	9768458	5.421088e-04	9768458	AT1G28010	NA	P-glycoprotein 14 (EC P-glycoprotein 14)
Chr1_16489529	1	16489529	5.554618e-04	16489529	AT1G43710	NA	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein (EC Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)
Chr1_16504223	1	16504223	5.554618e-04	16504223	NA	NA	NA
Chr1_16509168	1	16509168	5.554618e-04	16509168	AT1G43730	NA	RNA-directed DNA polymerase (reverse transcriptase)-related family protein (EC RNA-directed DNA polymerase (reverse transcriptase)-related family protein)
Chr1_16530790	1	16530790	5.554618e-04	16530790	AT1G43760	NA	DNAse I-like superfamily protein (EC DNAse I-like superfamily protein)
Chr1_16533597	1	16533597	5.554618e-04	16533597	AT1G43760	NA	DNAse I-like superfamily protein (EC DNAse I-like superfamily protein)
Chr1_15581966	1	15581966	2.979868e-04	15581966	NA	NA	NA
Chr1_6468864	1	6468864	1.894830e-04	6468864	AT1G18750	NA	AGAMOUS-like 65 (EC AGAMOUS-like 65)
Chr4_16233760	4	16233760	6.684221e-04	89819550	AT4G33860	NA	Glycosyl hydrolase family 10 protein (EC Glycosyl hydrolase family 10 protein)
Chr5_24769002	5	24769002	8.722683e-04	116939848	AT5G61600	NA	ethylene response factor 104 (EC ethylene response factor 104)
Chr3_21388849	3	21388849	3.202200e-04	71514809	AT3G57710	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr3_16139291	3	16139291	3.208610e-04	66265251	AT3G44550	NA	fatty acid reductase 5 (EC fatty acid reductase 5)
Chr4_16056670	4	16056670	2.601466e-04	89642460	AT4G33300	NA	ADR1-like 1 (EC ADR1-like 1)
Chr4_2819697	4	2819697	1.980257e-04	76405487	NA	NA	NA
Chr2_4866966	2	4866966	1.992051e-04	35294637	NA	NA	NA
Chr2_1711317	2	1711317	5.149482e-04	32138988	AT2G04860	NA	Tetratricopeptide repeat (TPR)-like superfamily protein (EC Tetratricopeptide repeat (TPR)-like superfamily protein)
Chr5_8073555	5	8073555	3.708692e-04	100244401	AT5G23910	NA	ATP binding microtubule motor family protein (EC ATP binding microtubule motor family protein)
Chr3_18070993	3	18070993	8.056667e-04	68196953	AT3G48750	NA	cell division control 2 (EC cell division control 2)
Chr4_5007719	4	5007719	1.971587e-04	78593509	NA	NA	NA
Chr2_16359535	2	16359535	2.098236e-04	46787206	AT2G39200	NA	Seven transmembrane MLO family protein (EC Seven transmembrane MLO family protein)
Chr2_5730096	2	5730096	2.174333e-04	36157767	NA	NA	NA
Chr1_10580146	1	10580146	1.175524e-04	10580146	NA	NA	NA
Chr2_6503542	2	6503542	4.369999e-04	36931213	AT2G15029	NA	NA
Chr3_15919271	3	15919271	3.743734e-04	66045231	NA	NA	NA
Chr2_944316	2	944316	3.739686e-04	31371987	AT2G03140	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr1_19416304	1	19416304	2.907340e-04	19416304	AT1G52150	NA	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein (EC Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein)
Chr1_4700940	1	4700940	2.238028e-04	4700940	NA	NA	NA
Chr5_18220974	5	18220974	1.205317e-03	110391820	NA	NA	NA
Chr5_13583419	5	13583419	6.684877e-04	105754265	AT5G35360	NA	acetyl Co-enzyme a carboxylase biotin carboxylase subunit (EC acetyl Co-enzyme a carboxylase biotin carboxylase subunit)
Chr4_14242042	4	14242042	3.446937e-04	87827832	AT4G28840	NA	NA
Chr5_21165283	5	21165283	2.268028e-04	113336129	AT5G52070	NA	Agenet domain-containing protein (EC Agenet domain-containing protein)
Chr1_9757029	1	9757029	5.879539e-04	9757029	AT1G28000	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr5_9831970	5	9831970	2.281209e-04	102002816	AT5G27760	NA	Hypoxia-responsive family protein (EC Hypoxia-responsive family protein)
Chr1_27116980	1	27116980	7.701803e-04	27116980	AT1G72050	NA	transcription factor IIIA (EC transcription factor IIIA)
Chr3_742709	3	742709	3.082189e-04	50868669	AT3G03210	NA	NA
Chr1_27413043	1	27413043	1.060261e-04	27413043	AT1G72840	NA	Disease resistance protein (TIR-NBS-LRR class) (EC Disease resistance protein (TIR-NBS-LRR class))
Chr5_7380803	5	7380803	9.264544e-04	99551649	AT5G22300	NA	nitrilase 4 (EC nitrilase 4)
Chr1_7450049	1	7450049	3.216501e-04	7450049	AT1G21280	NA	NA
Chr3_14876749	3	14876749	2.678203e-04	65002709	AT3G42786	NA	NA
Chr3_7564594	3	7564594	3.409243e-04	57690554	AT3G21470	NA	Pentatricopeptide repeat (PPR-like) superfamily protein (EC Pentatricopeptide repeat (PPR-like) superfamily protein)
Chr4_8839672	4	8839672	3.154674e-04	82425462	AT4G15450	NA	Senescence/dehydration-associated protein-related (EC Senescence/dehydration-associated protein-related)
Chr2_1705539	2	1705539	4.005964e-04	32133210	AT2G04845	NA	Acyl-CoA N-acyltransferases (NAT) superfamily protein (EC Acyl-CoA N-acyltransferases (NAT) superfamily protein)
Chr5_18300649	5	18300649	2.244530e-04	110471495	AT5G45220	NA	Disease resistance protein (TIR-NBS-LRR class) family (EC Disease resistance protein (TIR-NBS-LRR class) family)
Chr2_13954885	2	13954885	6.066207e-04	44382556	AT2G32900	NA	centromere/kinetochore protein, putative (ZW10) (EC centromere/kinetochore protein, putative (ZW10))
Chr2_13649205	2	13649205	6.625978e-04	44076876	AT2G32100	NA	ovate family protein 16 (EC ovate family protein 16)
Chr2_13650948	2	13650948	6.625978e-04	44078619	NA	NA	NA
Chr5_10844644	5	10844644	2.290158e-04	103015490	NA	NA	NA
Chr5_25495214	5	25495214	9.173855e-04	117666060	NA	NA	NA
Chr1_6642423	1	6642423	6.014683e-04	6642423	NA	NA	NA
Chr2_15793804	2	15793804	5.320566e-04	46221475	AT2G37650	NA	GRAS family transcription factor (EC GRAS family transcription factor)
Chr3_2285720	3	2285720	5.320566e-04	52411680	AT3G07160	NA	glucan synthase-like 10 (EC glucan synthase-like 10)
Chr3_14673944	3	14673944	1.339232e-04	64799904	NA	NA	NA
Chr5_21185364	5	21185364	9.494098e-04	113356210	AT5G52130	NA	NA
Chr5_17151119	5	17151119	4.049606e-04	109321965	AT5G42760	NA	Leucine carboxyl methyltransferase (EC Leucine carboxyl methyltransferase)
Chr5_9929562	5	9929562	8.785388e-05	102100408	NA	NA	NA
Chr5_17461408	5	17461408	5.494222e-04	109632254	AT5G43460	NA	HR-like lesion-inducing protein-related (EC HR-like lesion-inducing protein-related)
Chr2_11171327	2	11171327	8.278012e-04	41598998	NA	NA	NA
Chr2_11175411	2	11175411	8.278012e-04	41603082	AT2G26250	NA	3-ketoacyl-CoA synthase 10 (EC 3-ketoacyl-CoA synthase 10)
Chr1_9481967	1	9481967	4.023882e-04	9481967	AT1G27290	NA	NA
Chr5_16422443	5	16422443	6.554737e-04	108593289	AT5G41000	NA	YELLOW STRIPE like 4 (EC YELLOW STRIPE like 4)
Chr2_11170979	2	11170979	7.430273e-04	41598650	NA	NA	NA
Chr2_11171869	2	11171869	7.430273e-04	41599540	NA	NA	NA
Chr5_16679437	5	16679437	7.430273e-04	108850283	AT5G41690	NA	RNA-binding (RRM/RBD/RNP motifs) family protein (EC RNA-binding (RRM/RBD/RNP motifs) family protein)
Chr2_11205618	2	11205618	1.503734e-03	41633289	AT2G26320	NA	AGAMOUS-like 33 (EC AGAMOUS-like 33)
Chr5_8542515	5	8542515	4.793242e-04	100713361	AT5G24860	NA	flowering promoting factor 1 (EC flowering promoting factor 1)
Chr4_460246	4	460246	4.037674e-04	74046036	AT4G01060	NA	CAPRICE-like MYB3 (EC CAPRICE-like MYB3)
Chr5_15449999	5	15449999	2.673865e-04	107620845	AT5G38570	NA	F-box/RNI-like superfamily protein (EC F-box/RNI-like superfamily protein)
Chr3_14291147	3	14291147	2.692039e-04	64417107	NA	NA	NA
Chr2_11472641	2	11472641	2.371727e-04	41900312	NA	NA	NA
Chr5_1014979	5	1014979	2.787231e-04	93185825	AT5G03800	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr5_3231800	5	3231800	2.720536e-04	95402646	AT5G10280	NA	myb domain protein 92 (EC myb domain protein 92)
Chr1_119003	1	119003	1.316712e-03	119003	AT1G01300	NA	Eukaryotic aspartyl protease family protein (EC Eukaryotic aspartyl protease family protein)
Chr5_3336760	5	3336760	6.994294e-04	95507606	AT5G10550	NA	global transcription factor group E2 (EC global transcription factor group E2)
Chr5_9202778	5	9202778	5.136397e-04	101373624	AT5G26260	NA	TRAF-like family protein (EC TRAF-like family protein)
Chr2_16351971	2	16351971	2.941215e-04	46779642	AT2G39190	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr2_4910293	2	4910293	2.797668e-04	35337964	NA	NA	NA
Chr2_10228481	2	10228481	3.181303e-04	40656152	AT2G24050	NA	MIF4G domain-containing protein / MA3 domain-containing protein (EC MIF4G domain-containing protein / MA3 domain-containing protein)
Chr2_962823	2	962823	5.943187e-04	31390494	AT2G03180	NA	NA
Chr5_18608499	5	18608499	7.978349e-04	110779345	AT5G45870	NA	PYR1-like 12 (EC PYR1-like 12)
Chr5_13337830	5	13337830	3.213630e-04	105508676	NA	NA	NA
Chr2_636392	2	636392	7.783779e-04	31064063	NA	NA	NA
Chr4_2745086	4	2745086	7.868935e-04	76330876	AT4G05410	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr4_2747178	4	2747178	7.868935e-04	76332968	AT4G05410	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr4_2747792	4	2747792	7.868935e-04	76333582	AT4G05410	NA	Transducin/WD40 repeat-like superfamily protein (EC Transducin/WD40 repeat-like superfamily protein)
Chr4_14239831	4	14239831	4.680222e-04	87825621	AT4G28840	NA	NA
Chr4_11441254	4	11441254	3.492897e-04	85027044	AT4G21490	NA	NAD(P)H dehydrogenase B3 (EC NAD(P)H dehydrogenase B3)
Chr5_8781220	5	8781220	1.019639e-03	100952066	AT5G25300	NA	NA
Chr1_3619818	1	3619818	3.004142e-04	3619818	NA	NA	NA
Chr2_7940064	2	7940064	5.631072e-04	38367735	AT2G18250	NA	4-phosphopantetheine adenylyltransferase (EC 4-phosphopantetheine adenylyltransferase)
Chr3_9030455	3	9030455	1.074739e-03	59156415	AT3G24715	NA	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain (EC Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain)
Chr3_9030756	3	9030756	1.074739e-03	59156716	AT3G24715	NA	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain (EC Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain)
Chr3_9032631	3	9032631	1.074739e-03	59158591	AT3G24740	NA	Protein of unknown function (DUF1644) (EC Protein of unknown function (DUF1644))
Chr3_9156263	3	9156263	1.074739e-03	59282223	AT3G25140	NA	Nucleotide-diphospho-sugar transferases superfamily protein (EC Nucleotide-diphospho-sugar transferases superfamily protein)
Chr3_9204259	3	9204259	1.074739e-03	59330219	AT3G25265	NA	low-molecular-weight cysteine-rich 4 (EC low-molecular-weight cysteine-rich 4)
Chr2_18222674	2	18222674	4.599880e-04	48650345	NA	NA	NA
Chr2_18223194	2	18223194	4.599880e-04	48650865	AT2G44040	NA	Dihydrodipicolinate reductase, bacterial/plant (EC Dihydrodipicolinate reductase, bacterial/plant)
Chr2_18226254	2	18226254	4.599880e-04	48653925	AT2G44040	NA	Dihydrodipicolinate reductase, bacterial/plant (EC Dihydrodipicolinate reductase, bacterial/plant)
Chr5_16458397	5	16458397	5.907713e-04	108629243	AT5G41120	NA	Esterase/lipase/thioesterase family protein (EC Esterase/lipase/thioesterase family protein)
Chr1_15580503	1	15580503	3.285272e-04	15580503	NA	NA	NA
Chr3_22904118	3	22904118	8.004792e-04	73030078	AT3G61860	NA	RNA-binding (RRM/RBD/RNP motifs) family protein (EC RNA-binding (RRM/RBD/RNP motifs) family protein)
Chr3_12753524	3	12753524	3.516352e-04	62879484	NA	NA	NA
Chr3_15055024	3	15055024	6.171162e-04	65180984	NA	NA	NA
Chr3_12531990	3	12531990	1.301316e-04	62657950	AT3G30820	NA	Arabidopsis retrotransposon ORF-1 protein (EC Arabidopsis retrotransposon ORF-1 protein)
Chr5_10605546	5	10605546	3.058943e-04	102776392	NA	NA	NA
Chr5_14992815	5	14992815	7.345345e-04	107163661	AT5G37740	NA	Calcium-dependent lipid-binding (CaLB domain) family protein (EC Calcium-dependent lipid-binding (CaLB domain) family protein)
Chr3_15216120	3	15216120	1.001581e-04	65342080	AT3G43240	NA	ARID/BRIGHT DNA-binding domain-containing protein (EC ARID/BRIGHT DNA-binding domain-containing protein)
Chr3_23169348	3	23169348	5.747624e-04	73295308	AT3G62650	NA	NA
Chr1_23159281	1	23159281	1.087264e-03	23159281	AT1G62560	NA	flavin-monooxygenase glucosinolate S-oxygenase 3 (EC flavin-monooxygenase glucosinolate S-oxygenase 3)
Chr3_20253160	3	20253160	5.343466e-04	70379120	AT3G54710	NA	homolog of yeast CDT1 B homolog of yeast CDT1 B (EC homolog of yeast CDT1 B homolog of yeast CDT1 B)
Chr1_2832850	1	2832850	4.249990e-04	2832850	NA	NA	NA
Chr5_21973207	5	21973207	8.940867e-04	114144053	AT5G54145	NA	NA
Chr5_9131	5	9131	4.550619e-04	92179977	AT5G01020	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr1_9750760	1	9750760	8.276424e-04	9750760	AT1G27980	NA	dihydrosphingosine phosphate lyase (EC dihydrosphingosine phosphate lyase)
Chr3_10145126	3	10145126	3.366853e-04	60271086	AT3G27410	NA	NA
Chr3_11803175	3	11803175	1.490623e-03	61929135	NA	NA	NA
Chr1_16250909	1	16250909	3.394475e-04	16250909	NA	NA	NA
Chr3_20477633	3	20477633	6.146297e-04	70603593	NA	NA	NA
Chr5_8400492	5	8400492	1.888138e-04	100571338	NA	NA	NA
Chr1_19423046	1	19423046	4.581456e-04	19423046	NA	NA	NA
Chr2_10562183	2	10562183	1.983366e-04	40989854	AT2G24765	NA	ADP-ribosylation factor 3 (EC ADP-ribosylation factor 3)
Chr4_18176157	4	18176157	6.832760e-04	91761947	AT4G39000	NA	glycosyl hydrolase 9B17 (EC glycosyl hydrolase 9B17)
Chr2_937910	2	937910	5.482396e-04	31365581	AT2G03120	NA	signal peptide peptidase (EC signal peptide peptidase)
Chr1_9748886	1	9748886	8.862964e-04	9748886	AT1G27960	NA	evolutionarily conserved C-terminal region 9 (EC evolutionarily conserved C-terminal region 9)
Chr1_4054974	1	4054974	8.129286e-04	4054974	AT1G12000	NA	Phosphofructokinase family protein (EC Phosphofructokinase family protein)
Chr1_27142347	1	27142347	6.398010e-04	27142347	AT1G72140	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr5_24570959	5	24570959	8.074038e-04	116741805	AT5G61060	NA	histone deacetylase 5 (EC histone deacetylase 5)
Chr1_8312690	1	8312690	8.463265e-04	8312690	AT1G23390	NA	Kelch repeat-containing F-box family protein (EC Kelch repeat-containing F-box family protein)
Chr3_2268586	3	2268586	9.254415e-04	52394546	NA	NA	NA
Chr3_3941450	3	3941450	3.514895e-04	54067410	AT3G12380	NA	actin-related protein 5 (EC actin-related protein 5)
Chr1_2700227	1	2700227	7.646239e-04	2700227	AT1G08520	NA	ALBINA 1 (EC ALBINA 1)
Chr1_2701560	1	2701560	7.646239e-04	2701560	AT1G08530	NA	NA
Chr4_1053920	4	1053920	6.958365e-04	74639710	AT4G02390	NA	poly(ADP-ribose) polymerase (EC poly(ADP-ribose) polymerase)
Chr1_28222851	1	28222851	6.326574e-04	28222851	AT1G75200	NA	flavodoxin family protein / radical SAM domain-containing protein (EC flavodoxin family protein / radical SAM domain-containing protein)
Chr5_17932889	5	17932889	9.761987e-04	110103735	NA	NA	NA
Chr2_13684422	2	13684422	1.154500e-03	44112093	AT2G32230	NA	proteinaceous RNase P 1 (EC proteinaceous RNase P 1)
Chr5_17414538	5	17414538	1.240242e-02	109585384	NA	NA	NA
Chr3_14249134	3	14249134	3.835763e-04	64375094	NA	NA	NA
Chr5_25072234	5	25072234	4.258998e-04	117243080	AT5G62430	NA	cycling DOF factor 1 (EC cycling DOF factor 1)
Chr4_11897088	4	11897088	4.307058e-04	85482878	AT4G22590	NA	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (EC Haloacid dehalogenase-like hydrolase (HAD) superfamily protein)
Chr2_9571880	2	9571880	8.873732e-04	39999551	AT2G22520	NA	NA
Chr4_5993741	4	5993741	5.614649e-04	79579531	AT4G09460	NA	myb domain protein 6 (EC myb domain protein 6)
Chr2_98753	2	98753	7.068045e-04	30526424	AT2G01130	NA	DEA(D/H)-box RNA helicase family protein (EC DEA(D/H)-box RNA helicase family protein)
Chr4_17190424	4	17190424	1.602140e-03	90776214	NA	NA	NA
Chr1_23461699	1	23461699	1.262480e-03	23461699	AT1G63240	NA	NA
Chr4_4495265	4	4495265	3.806861e-04	78081055	NA	NA	NA
Chr1_28941465	1	28941465	4.331687e-04	28941465	AT1G77000	NA	RNI-like superfamily protein (EC RNI-like superfamily protein)
Chr1_28943294	1	28943294	4.331687e-04	28943294	AT1G77010	NA	Pentatricopeptide repeat (PPR) superfamily protein (EC Pentatricopeptide repeat (PPR) superfamily protein)
Chr5_19952433	5	19952433	3.839442e-04	112123279	AT5G49210	NA	NA
Chr1_16547538	1	16547538	1.033561e-03	16547538	AT1G43770	NA	RING/FYVE/PHD zinc finger superfamily protein (EC RING/FYVE/PHD zinc finger superfamily protein)
Chr1_14894797	1	14894797	4.689235e-04	14894797	NA	NA	NA
Chr5_5883773	5	5883773	1.216182e-03	98054619	AT5G17810	NA	WUSCHEL related homeobox 12 (EC WUSCHEL related homeobox 12)
Chr4_17032044	4	17032044	3.900677e-04	90617834	AT4G35980	NA	NA
Chr2_12542961	2	12542961	3.377512e-03	42970632	AT2G29170	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr5_3603823	5	3603823	6.639219e-04	95774669	NA	NA	NA
Chr5_7381127	5	7381127	4.003273e-04	99551973	AT5G22300	NA	nitrilase 4 (EC nitrilase 4)
Chr4_4127722	4	4127722	4.003378e-04	77713512	NA	NA	NA
Chr5_21323767	5	21323767	6.094778e-04	113494613	AT5G52540	NA	Protein of unknown function (DUF819) (EC Protein of unknown function (DUF819))
Chr5_17434025	5	17434025	1.477448e-04	109604871	NA	NA	NA
Chr4_779389	4	779389	1.562216e-03	74365179	AT4G01800	NA	Albino or Glassy Yellow 1 (EC Albino or Glassy Yellow 1)
Chr1_8547044	1	8547044	2.575940e-04	8547044	NA	NA	NA
Chr3_5360636	3	5360636	7.272632e-04	55486596	AT3G15850	NA	fatty acid desaturase 5 (EC fatty acid desaturase 5)
Chr3_12999322	3	12999322	2.627037e-04	63125282	NA	NA	NA
Chr5_10492052	5	10492052	4.827039e-04	102662898	NA	NA	NA
Chr1_23834270	1	23834270	5.754550e-04	23834270	AT1G64230	NA	ubiquitin-conjugating enzyme 28 (EC ubiquitin-conjugating enzyme 28)
Chr5_10133353	5	10133353	4.783128e-04	102304199	NA	NA	NA
Chr2_5388155	2	5388155	3.990842e-04	35815826	NA	NA	NA
Chr5_8781320	5	8781320	1.297055e-03	100952166	AT5G25300	NA	NA
